cheeseburger,peynirli hamburger,noun,I like eating,
lemonade,limonata,noun,I drink,in summer
dessert,tatlı,noun,What's for,
pizza,pizza,noun,I really love,
pasta,makarna,noun,Cook the,carefully
soda,gazoz,noun,I drink,sometimes
yard,bahçe,noun,The big,is beautiful
slippers,terlik,noun,Wear your,at home
cushion,minder,noun,This soft,is comfortable
dining room,yemek odası,noun,We eat in the,
mat,paspas,noun,The dirty,needs cleaning
wall,duvar,noun,Paint the,white
dentist,dişçi,noun,Visit your,regularly
waiter,garson,noun,The kind,helped us
summer,yaz,noun,In,it's very hot
firefighter,itfaiyeci,noun,The brave,helped us
photographer,fotoğrafçı,noun,The professional,took pictures
